title,author,price,pub,pub_date
파이썬컴퓨팅,한종대,14130,한국인력리스,2024년 07월 25일
파이썬과 AI 인공지능 카메라를 활용한 자율주행 자동차,장문철,22950,앤써북,2024년 08월 20일
네트워크 인프라 자동화 _SDN 개념부터 파이썬 리눅스 Ansible 활용까지,맷 오스왈트,58500,한빛미디어,2024년 08월 10일
파이썬과 자바스크립트로 배우는 OpenAI 프로그래밍,쇼다 쓰야노,28800,제이펍,2024년 08월 16일
파이썬으로 구현하는 로보어드바이저,윤성진,32400,에이콘출판,2024년 07월 31일
[무료특별판] 미국 주식으로 시작하는 슬기로운 퀀트투자,김용환,0,한빛미디어,2021년 10월 29일
파이썬으로 시작하는 데이터 분석,강지영,19800,아이리포,2021년 07월 15일
초보자를 위한 파이썬(Python) 200제,장삼용,18000,정보문화사,2017년 02월 27일
[epub3.0] (Better Python Code)파이썬 코딩의 기술 51,"데이비드 메르츠 저자, 김진호 번역",0,길벗,2024년 07월 18일
2024 빅데이터분석기사 실기 한권완성_ 파이썬(Python),최예신,27000,예문에듀,2024년 05월 20일
누구나 할 수 있다 파이썬 Python 기초,박빈,0,와이웨이브이퍼블리싱,2024년 03월 22일
초보자를 위한 파이썬(Python) 200제,장삼용,0,정보문화사,2017년 03월 07일
Head First Python,우정은,0,한빛미디어,2017년 12월 11일
파이썬 딥러닝 파이토치(Python Deep Learning PyTorch),이경택,0,정보문화사,2020년 11월 27일
파이썬(Python) 3학년 머신러닝의 구조,모리 요시나오,16200,성안당,2023년 09월 20일
생활코딩! 파이썬,이고잉,16200,범,2020년 03월 23일
파이썬 딥러닝 파이토치(Python Deep Learning PyTorch),이경택,22500,정보문화사,2020년 10월 08일
파이썬(Python),박병기,0,아티오,2017년 01월 17일
Python(파이썬)과 Matplotlib NumPy Pandas,양원영,0,유페이퍼,2021년 03월 17일
파이썬(Python) 3학년 머신러닝의 구조,모리 요시나오,0,성안당,2023년 09월 12일
