title,author,price,pub,pub_date
자바스크립트 + 리액트 디자인 패턴,애디 오스마니,25200,한빛미디어,2024년 08월 01일
파이썬과 자바스크립트로 배우는 OpenAI 프로그래밍,쇼다 쓰야노,28800,제이펍,2024년 08월 16일
기본기가 탄탄한 자바 개발자,벤저민 J. 에번스,40500,제이펍,2024년 08월 14일
혼자 공부하는 자바,신용권,25200,한빛미디어,2024년 02월 01일
[무료특별판] 이것이 자바다(개정판),신용권,0,한빛미디어,2022년 08월 30일
코딩 테스트 합격자 되기_ 자바스크립트 편,이선협,37800,골든래빗(주),2024년 07월 01일
자바/스프링 개발자를 위한 실용주의 프로그래밍,김우근,28800,위키북스,2024년 06월 11일
모던 자바스크립트 Deep Dive,이웅모,40500,위키북스,2020년 09월 25일
이것이 자바다,신용권,34200,한빛미디어,2024년 04월 01일
코딩 자율학습 HTML + CSS + 자바스크립트,김기수,24300,길벗,2022년 04월 25일
모던 자바스크립트 Deep Dive,이웅모,0,위키북스,2021년 01월 04일
자바 ORM 표준 JPA 프로그래밍,김영한,38700,에이콘출판,2015년 07월 28일
스프링 부트 3 백엔드 개발자 되기_ 자바 편,신선영,28800,골든래빗(주),2024년 04월 05일
자바 잘 읽는 법,라우렌치우 스필커,25200,제이펍,2024년 05월 09일
Do it! 알고리즘 코딩 테스트_ 자바 편,김종관,28800,이지스퍼블리싱,2022년 04월 05일
이펙티브 자바,조슈아 블로크,32400,인사이트,2018년 11월 01일
코딩 테스트 합격자 되기_ 자바 편,김희성,37800,골든래빗(주),2024년 03월 01일
스프링 부트 3 백엔드 개발자 되기_ 자바 편,신선영,0,골든래빗(주),2024년 04월 20일
이것이 자바다,신용권,0,한빛미디어,2022년 09월 02일
코딩 자율학습 스프링 부트 3 자바 백엔드 개발 입문,홍팍,29700,길벗,2023년 07월 10일
